Title,ImgUrl,Date,AccessionNumber,Medium,Location
Vase,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.168_EGDP015594.jpg,ca. 1295–1070 B.C.,30.8.168,Glass,The Met Fifth Avenue in Gallery 124
Bowl,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.180_EGDP015810.jpg,ca. 1295–1070 B.C.,30.8.180,Glass,The Met Fifth Avenue in Gallery 124
Miniature Bottle,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.182_EGDP015606.jpg,ca. 1295–1070 B.C.,30.8.182,Glass,The Met Fifth Avenue in Gallery 124
Rosary bead,http://images.metmuseum.org/CRDImages/es/web-thumb/DP148778.jpg,early 16th century,30.95.127,Ivory,The Met Fifth Avenue in Gallery 520
The Old Castle,http://images.metmuseum.org/CRDImages/ep/web-thumb/DP143169.jpg,Oil on wood,The Met Fifth Avenue in Gallery 638,30.95.260,
Cylindrical Box (Pyxis),http://images.metmuseum.org/CRDImages/is/web-thumb/DP217219.jpg,10th century,30.95.175,Ivory; carved,The Met Fifth Avenue in Gallery 457
Bird-shaped Pendant with Brown Wings (Toy?),http://images.metmuseum.org/CRDImages/is/web-thumb/DP123179.jpg,13th century,30.95.196,"Glass, green; blown, applied opaque red decoration",The Met Fifth Avenue in Gallery 454
Figurine of a Bovine,http://images.metmuseum.org/CRDImages/is/web-thumb/sf30-95-154a.jpg,12th century,30.95.154,Stonepaste; transparent turquoise glaze (iridized),The Met Fifth Avenue in Gallery 458
Figurine of a Bovine,http://images.metmuseum.org/CRDImages/is/web-thumb/sf30-95-153a.jpg,12th century,30.95.153,Stonepaste; transparent turquoise glaze (iridized),The Met Fifth Avenue in Gallery 458
Model Flail from the Foundation Deposit for Hatshepsut's Tomb,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.15_view.2.jpg,ca. 1479–1458 B.C.,30.8.15,"Wood, gold foil",The Met Fifth Avenue in Gallery 116
Model Jar from the Foundation Deposit for Hatshepsut's Tomb,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.16ab.jpg,ca. 1479–1458 B.C.,"30.8.16a, b",Travertine (Egyptian alabaster),The Met Fifth Avenue in Gallery 116
Model Knot from the Foundation Deposit for Hatshepsut's Tomb,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.14_view.2.jpg,ca. 1479–1458 B.C.,30.8.14,"Wood, gold leaf",The Met Fifth Avenue in Gallery 116
Bundle of Model Mats from the Foundation Deposit for Hatshepsut's Tomb,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.12.jpg,ca. 1479–1458 B.C.,30.8.12,"Papyrus, fiber",The Met Fifth Avenue in Gallery 116
Model Brick Mold from the Foundation Deposit for Hatshepsut's Tomb,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.7.jpg,ca. 1479–1458 B.C.,30.8.7,Wood,The Met Fifth Avenue in Gallery 116
Model Meskhetyu Implement from the Foundation Deposit for Hatshepsut's Tomb,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.8.jpg,ca. 1479–1458 B.C.,30.8.8,Wood,The Met Fifth Avenue in Gallery 116
Hm scepter,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1353–1295 B.C.,30.8.47,Faience,The Met Fifth Avenue in Gallery 122
Model bowl,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1353–1295 B.C.,30.8.49,Pottery,The Met Fifth Avenue in Gallery 122
Model grapes,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1353–1295 B.C.,30.8.48,Faience,The Met Fifth Avenue in Gallery 122
Model Knife,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1353–1336 B.C.,30.8.53,Limestone,The Met Fifth Avenue in Gallery 122
Model Situla,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1353–1336 B.C.,30.8.52,Faience,The Met Fifth Avenue in Gallery 122
"Model, hoe",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1390–1352 B.C.,30.8.64,Wood,The Met Fifth Avenue in Gallery 122
Model basket,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1390–1352 B.C.,30.8.62,Bronze or copper alloy,The Met Fifth Avenue in Gallery 122
Resting bovine amulet,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.406_rp.jpg,664–380 B.C.,30.8.406,Gold,The Met Fifth Avenue in Gallery 127
Scarab of the Overseer of the Troops Sebeknakht,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.669_DP322115.jpg,ca. 1802–1677 B.C.,30.8.669,Glazed steatite,The Met Fifth Avenue in Gallery 109
Ostracon,http://images.metmuseum.org/CRDImages/eg/web-thumb/14.6.219_front.jpg,ca. 1295–1070 B.C.,14.6.219,"Limestone, ink",The Met Fifth Avenue in Gallery 122
Shabti fragment,http://images.metmuseum.org/CRDImages/eg/web-thumb/14.6.40.front.jpg,ca. 1550–1295 B.C.,14.6.40,Stone,The Met Fifth Avenue in Gallery 117
Vessel,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1981–1550 B.C.,30.8.148,Faience,The Met Fifth Avenue in Gallery 106
"Bracelet with sliding clasp, perhaps for a child",/content/img/placeholders/NoImageAvailableIcon.png,A.D. 1st–2nd century,30.8.402,gold,The Met Fifth Avenue in Gallery 138
Scarab Inscribed for the God's Wife (Ahmose-)Nefertari,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1525 B.C.,30.8.474,"Steatite, glazed",The Met Fifth Avenue in Gallery 117
Model house,http://images.metmuseum.org/CRDImages/eg/web-thumb/99.3.4.jpg,ca. 2100–1950 B.C.,99.3.4,Pottery,The Met Fifth Avenue in Gallery 109
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1802–1575 B.C.,30.8.456,Blue glazed steatite,The Met Fifth Avenue in Gallery 109
Scarab of Sebekhotep IV,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1731–1719 B.C.,30.8.453,Blue glazed steatite,The Met Fifth Avenue in Gallery 109
Shabti of Seti I,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1294–1279 B.C.,30.8.188,Green glazed steatite,The Met Fifth Avenue in Gallery 122
Inscribed Stick,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1295–1070 B.C.,30.8.249,Wood,The Met Fifth Avenue in Gallery 122
Face inlay,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1295–1070 B.C.,30.8.335,Red jasper,The Met Fifth Avenue in Gallery 122
"Ring, scaraboid",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1295–1070 B.C.,30.8.419,Glazed steatite,The Met Fifth Avenue in Gallery 122
Miniature sistrum,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1295–1070 B.C.,30.8.427,Bronze or copper alloy,The Met Fifth Avenue in Gallery 122
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1186 B.C.,30.8.993,Faience,The Met Fifth Avenue in Gallery 122
"Seal, hedgehog",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1295–1070 B.C.,30.8.1038,Faience,The Met Fifth Avenue in Gallery 122
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1295–1070 B.C.,30.8.850,Faience,The Met Fifth Avenue in Gallery 122
"Plaque, openwork",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1295–1070 B.C.,30.8.844,Faience,The Met Fifth Avenue in Gallery 122
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1390–1352 B.C.,30.8.588,Green glazed steatite,The Met Fifth Avenue in Gallery 117
Plaque,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1425 B.C.,30.8.565,Blue faience,The Met Fifth Avenue in Gallery 117
Plaque,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1425 B.C.,30.8.566,Glass,The Met Fifth Avenue in Gallery 118
Stamp Seal,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1425 B.C.,30.8.571,Steatite,The Met Fifth Avenue in Gallery 118
Plaque,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1425 B.C.,30.8.570,Glass,The Met Fifth Avenue in Gallery 118
Stone vessel,/content/img/placeholders/NoImageAvailableIcon.png,ca. 3100–2650 B.C.,30.8.130,Hornblende diorite,The Met Fifth Avenue in Gallery 101
Bead Plaque,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1295–1185 B.C.,30.8.629,Steatite,The Met Fifth Avenue in Gallery 124
Glass Vase,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1295–1070 B.C.,30.8.169,Glass,The Met Fifth Avenue in Gallery 122
Kneeling Deity,/content/img/placeholders/NoImageAvailableIcon.png,525–332 B.C.,30.8.97,Bronze or copper alloy,The Met Fifth Avenue in Gallery 130
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1295–1070 B.C.,30.8.971,Glazed steatite,The Met Fifth Avenue in Gallery 124
Faience Ball,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1295–1070 B.C.,30.8.165,Faience,The Met Fifth Avenue in Gallery 122
Bowl,/content/img/placeholders/NoImageAvailableIcon.png,664–332 B.C.,30.8.136,Travertine (Egyptian alabaster),The Met Fifth Avenue in Gallery 130
Amulet,/content/img/placeholders/NoImageAvailableIcon.png,664–30 B.C.,30.8.284,Glass,The Met Fifth Avenue in Gallery 130
"Amulet, Horus falcon",/content/img/placeholders/NoImageAvailableIcon.png,525–332 B.C.,30.8.432,Gold,The Met Fifth Avenue in Gallery 130
"Amulet, Genii of the Dead",/content/img/placeholders/NoImageAvailableIcon.png,664–30 B.C.,30.8.277,Glass,The Met Fifth Avenue in Gallery 130
Jar,/content/img/placeholders/NoImageAvailableIcon.png,525–332 B.C.,30.8.147,Faience,The Met Fifth Avenue in Gallery 130
Amulet,/content/img/placeholders/NoImageAvailableIcon.png,664–30 B.C.,30.8.263,Blue Faience,The Met Fifth Avenue in Gallery 130
Cup,/content/img/placeholders/NoImageAvailableIcon.png,525–332 B.C.,30.8.122,Copper or bronze,The Met Fifth Avenue in Gallery 130
Statuette,/content/img/placeholders/NoImageAvailableIcon.png,525–332 B.C.,30.8.267,Green Faience,The Met Fifth Avenue in Gallery 130
"Seal, stamp",/content/img/placeholders/NoImageAvailableIcon.png,664–332 B.C.,30.8.322,Green glazed steatite,The Met Fifth Avenue in Gallery 130
Seated Deity Amulet,/content/img/placeholders/NoImageAvailableIcon.png,664–332 B.C.,30.8.412,Gold,The Met Fifth Avenue in Gallery 130
Model Axe Blade,/content/img/placeholders/NoImageAvailableIcon.png,664–332 B.C.,30.8.156,Faience,The Met Fifth Avenue in Gallery 130
"Lentoid Bottle (""New Year's Bottle"")",/content/img/placeholders/NoImageAvailableIcon.png,664–332 B.C.,30.8.216,Glass,The Met Fifth Avenue in Gallery 130
"Amulet, Wedjat eye",/content/img/placeholders/NoImageAvailableIcon.png,332–30 B.C.,30.8.378,Gold,The Met Fifth Avenue in Gallery 130
Perfume vase,/content/img/placeholders/NoImageAvailableIcon.png,664–332 B.C.,30.8.172,Glass,The Met Fifth Avenue in Gallery 130
"Amulet, Horus",/content/img/placeholders/NoImageAvailableIcon.png,332–30 B.C.,30.8.407,Gold,The Met Fifth Avenue in Gallery 130
"Ring, signet",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–712 B.C.,30.8.325,Bronze or copper alloy,The Met Fifth Avenue in Gallery 130
"Amulet, Bes head",/content/img/placeholders/NoImageAvailableIcon.png,332–30 B.C.,30.8.379,Gold,The Met Fifth Avenue in Gallery 130
Cup,/content/img/placeholders/NoImageAvailableIcon.png,664–332 B.C.,30.8.145,Glass,The Met Fifth Avenue in Gallery 130
Bracelet (bangle),/content/img/placeholders/NoImageAvailableIcon.png,332–30 B.C.,30.8.404,Gold,The Met Fifth Avenue in Gallery 130
Perfume vase,/content/img/placeholders/NoImageAvailableIcon.png,664–332 B.C.,30.8.176,Glass,The Met Fifth Avenue in Gallery 130
Amulet plaque,/content/img/placeholders/NoImageAvailableIcon.png,664–30 B.C.,30.8.287,Faience,The Met Fifth Avenue in Gallery 130
Seated Deity Amulet,/content/img/placeholders/NoImageAvailableIcon.png,664–332 B.C.,30.8.411,Gold,The Met Fifth Avenue in Gallery 130
Amulet,/content/img/placeholders/NoImageAvailableIcon.png,664–332 B.C.,30.8.185,Glass,The Met Fifth Avenue in Gallery 130
Amulet,/content/img/placeholders/NoImageAvailableIcon.png,664–332 B.C.,30.8.297,Blue faience,The Met Fifth Avenue in Gallery 130
"Scarab, Thutmose III",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1425 B.C.,30.8.545,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, Thutmose III",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1425 B.C.,30.8.572,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, Thutmose III",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1425 B.C.,30.8.525,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, Thutmose III",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1425 B.C.,30.8.568,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, Thutmose III",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1425 B.C.,30.8.548,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, Thutmose III",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1425 B.C.,30.8.541,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, Thutmose III",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1425 B.C.,30.8.511,Faience,The Met Fifth Avenue in Gallery 117
Walking Stick Handle,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.248,Wood,The Met Fifth Avenue in Gallery 117
"Scarab, Thutmose III",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1425 B.C.,30.8.506,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, Thutmose III",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1425 B.C.,30.8.515,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, Thutmose III",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1425 B.C.,30.8.932,Faience,The Met Fifth Avenue in Gallery 117
Adze Blade,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.117,Bronze or copper alloy,The Met Fifth Avenue in Gallery 117
Hammer head,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.113,Bronze or copper alloy,The Met Fifth Avenue in Gallery 117
Earring (?),/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1458 B.C.,30.8.424,Gold,The Met Fifth Avenue in Gallery 117
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1427–1400 B.C.,30.8.581,Glazed Steatite,The Met Fifth Avenue in Gallery 122
Jar,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1981–1550 B.C.,30.8.212a,Pottery,The Met Fifth Avenue in Gallery 109
"Dish, shallow",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1981–1550 B.C.,30.8.212b,Pottery,The Met Fifth Avenue in Gallery 109
Cowrie shell amulet,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1981–1550 B.C.,30.8.343,Diorite,The Met Fifth Avenue in Gallery 109
Lion amulet,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1981–1550 B.C.,30.8.306,Lapis lazuli,The Met Fifth Avenue in Gallery 109
Hawk head amulet,/content/img/placeholders/NoImageAvailableIcon.png,664–332 B.C.,30.8.298,Blue faience,The Met Fifth Avenue in Gallery 130
Cylinder seal,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1640–1550 B.C.,30.8.317,Green glazed steatite,The Met Fifth Avenue in Gallery 109
Shabti,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–343 B.C,30.8.193,Faience,The Met Fifth Avenue in Gallery 130
Sa sign amulet,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1981–1550 B.C.,30.8.375,Gold,The Met Fifth Avenue in Gallery 109
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1640–1550 B.C.,30.8.740,Green jasper,The Met Fifth Avenue in Gallery 109
Inscribed Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.781,Steatite (glazed),The Met Fifth Avenue in Gallery 117
Seal,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.1036,Faience,The Met Fifth Avenue in Gallery 130
"Scarab, Amenhotep III",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1390–1352 B.C.,30.8.592,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, Queen Tiye",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1390–1352 B.C.,30.8.600,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, Thutmose III",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1425 B.C.,30.8.507,Faience,The Met Fifth Avenue in Gallery 117
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1640–1550 B.C.,30.8.756,Blue-green glazed steatite,The Met Fifth Avenue in Gallery 109
"Scarab, Hatshepsut",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1458 B.C.,30.8.498,Stone,The Met Fifth Avenue in Gallery 117
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1640–1550 B.C.,30.8.751,Blue-green glazed steatite,The Met Fifth Avenue in Gallery 109
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 945–924 B.C.,30.8.632,"Steatite, glazed",The Met Fifth Avenue in Gallery 130
"Scarab, private",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.986,Faience,The Met Fifth Avenue in Gallery 117
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.952,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, Thutmose III",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1425 B.C.,30.8.573,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, Hatshepsut",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1458 B.C.,30.8.494,Stone,The Met Fifth Avenue in Gallery 117
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1640–1550 B.C.,30.8.656,Glazed steatite,The Met Fifth Avenue in Gallery 109
"Scarab, Thutmose III",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1425 B.C.,30.8.546,Faience,The Met Fifth Avenue in Gallery 117
Scarab Inscribed for the Scribe Teti,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.682,Faience,The Met Fifth Avenue in Gallery 117
Nephthys Amulet,/content/img/placeholders/NoImageAvailableIcon.png,664–30 B.C.,30.8.262,Blue glass,The Met Fifth Avenue in Gallery 130
Amulet,/content/img/placeholders/NoImageAvailableIcon.png,664–30 B.C.,30.8.257,Faience,The Met Fifth Avenue in Gallery 130
Statuette base,/content/img/placeholders/NoImageAvailableIcon.png,525–332 B.C.,30.8.255b,Faience,The Met Fifth Avenue in Gallery 130
"Amulet, Baboon",/content/img/placeholders/NoImageAvailableIcon.png,525–332 B.C.,30.8.88,Faience,The Met Fifth Avenue in Gallery 130
Figure of Nehebkau,/content/img/placeholders/NoImageAvailableIcon.png,664–525 B.C.,30.8.255a,Faience,The Met Fifth Avenue in Gallery 130
Ring fragment,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.244a,"Silver, steatite",The Met Fifth Avenue in Gallery 130
"Seal amulet, hedgehog (?)",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.1056,Faience,The Met Fifth Avenue in Gallery 130
"Seal, frog",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.857,Faience,The Met Fifth Avenue in Gallery 130
"Seal, owl (?)",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.1042,Faience,The Met Fifth Avenue in Gallery 130
"Seal amulet, fish",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.1035,Faience,The Met Fifth Avenue in Gallery 130
"Seal, ram",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.1044,Faience,The Met Fifth Avenue in Gallery 130
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 945–924 B.C.,30.8.631,"Steatite,glazed",The Met Fifth Avenue in Gallery 130
"Seal, rabbit",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.856,Faience,The Met Fifth Avenue in Gallery 130
"Plaque, Shebitqo",/content/img/placeholders/NoImageAvailableIcon.png,ca. 707–690 B.C.,30.8.638,Faience,The Met Fifth Avenue in Gallery 130
"Statuette, Neith",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.95,Cupreous alloy,The Met Fifth Avenue in Gallery 130
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.1043,Steatite,The Met Fifth Avenue in Gallery 130
"Weight, bull",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.310,Stone,The Met Fifth Avenue in Gallery 117
"Weight, bull's head",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.109,Bronze or copper alloy,The Met Fifth Avenue in Gallery 117
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1427–1400 B.C.,30.8.584,Glazed steatite,The Met Fifth Avenue in Gallery 117
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1427–1400 B.C.,30.8.582,Glazed steatite,The Met Fifth Avenue in Gallery 117
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1427–1400 B.C.,30.8.576,Glazed steatite,The Met Fifth Avenue in Gallery 117
Shabti of Painedjem,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.190,Faience,The Met Fifth Avenue in Gallery 130
Ring,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.420,Gold,The Met Fifth Avenue in Gallery 130
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.848,"Dark green jasper, gold",The Met Fifth Avenue in Gallery 130
"Scarab, ram head",/content/img/placeholders/NoImageAvailableIcon.png,ca. 713–698 B.C.,30.8.1045,Faience,The Met Fifth Avenue in Gallery 130
"Seal, Shabaqo",/content/img/placeholders/NoImageAvailableIcon.png,ca. 713–698 B.C.,30.8.635,Faience,The Met Fifth Avenue in Gallery 130
"Scarab, Shabaqo",/content/img/placeholders/NoImageAvailableIcon.png,ca. 713–698 B.C.,30.8.636,Stone,The Met Fifth Avenue in Gallery 130
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.960,Faience,The Met Fifth Avenue in Gallery 130
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.1016,Faience,The Met Fifth Avenue in Gallery 130
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.924,Faience,The Met Fifth Avenue in Gallery 130
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.1066,Faience,The Met Fifth Avenue in Gallery 130
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.637,Stone,The Met Fifth Avenue in Gallery 130
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.1003,Faience,The Met Fifth Avenue in Gallery 130
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1070–664 B.C.,30.8.1031,Faience,The Met Fifth Avenue in Gallery 130
"Scarab, Hatshepsut",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1458 B.C.,30.8.493,Blue glazed steatite,The Met Fifth Avenue in Gallery 117
"Scarab, Hatshepsut",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1458 B.C.,30.8.574,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, Hatshepsut",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1458 B.C.,30.8.480,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, Hatshepsut",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1458 B.C.,30.8.503,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, Hatshepsut",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1458 B.C.,30.8.497,Stone,The Met Fifth Avenue in Gallery 117
"Scarab, Hatshepsut",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1458 B.C.,30.8.501,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, Hatshepsut",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1479–1458 B.C.,30.8.505,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, private",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.414,Gold,The Met Fifth Avenue in Gallery 117
Inscribed Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.792,Steatite (glazed),The Met Fifth Avenue in Gallery 117
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.1041,Steatite,The Met Fifth Avenue in Gallery 117
"Scarab, private",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.979,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, private",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.985,Faience,The Met Fifth Avenue in Gallery 117
"Scarab, private",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.815,Faience,The Met Fifth Avenue in Gallery 117
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.801,Steatite (glazed),The Met Fifth Avenue in Gallery 117
Cowroid Bead,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.426,"Jasper, gold",The Met Fifth Avenue in Gallery 117
Ovoid Stamp Seal,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.1022,Steatite,The Met Fifth Avenue in Gallery 117
"Scaraboid, hedgehog",/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.1039,Faience,The Met Fifth Avenue in Gallery 117
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.780,Steatite (glazed),The Met Fifth Avenue in Gallery 117
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.746,Steatite (glazed),The Met Fifth Avenue in Gallery 117
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.835,Steatite (glazed),The Met Fifth Avenue in Gallery 117
Inscribed Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.785,Steatite (glazed),The Met Fifth Avenue in Gallery 117
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.775,Carnelian,The Met Fifth Avenue in Gallery 117
Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.681,Jasper (green),The Met Fifth Avenue in Gallery 117
Inscribed Scarab,/content/img/placeholders/NoImageAvailableIcon.png,ca. 1550–1295 B.C.,30.8.794,Steatite (glazed),The Met Fifth Avenue in Gallery 117
